taxon_id,common_name,scientific_name,predatorCount
47157.0,Butterflies and Moths,Lepidoptera,38
47178.0,Ray-finned Fishes,Actinopterygii,21
585956.0,Common Wild Fig,Ficus burkei,21
205898.0,Yellow Justicia,Justicia flava,15
184884.0,Winged and Once-winged Insects,Pterygota,15
