taxon_id,common_name,scientific_name,preyCount
4956.0,Great Blue Heron,Ardea herodias,47
47219.0,Western Honey Bee,Apis mellifera,41
81839.0,Tan Jumping Spider,Platycryptus undatus,20
625887.0,Southern Brown-hooded Kingfisher,Halcyon albiventris albiventris,20
116999.0,Osprey,Pandion haliaetus,18
