observed_on,time_zone,url,image_url,sound_url,positional_accuracy,place_guess,latitude,longitude,place_town_name,place_county_name,place_state_name,place_country_name,special_type_of_feeding,captive_cultivated,predator_id,predator_scientific_name,predator_common_name,predator_iconic_taxon_name,predator_taxon_species_name,predator_taxon_kingdom_name,predator_taxon_phylum_name,predator_taxon_subphylum_name,predator_taxon_superclass_name,predator_taxon_class_name,predator_taxon_subclass_name,predator_taxon_superorder_name,predator_taxon_order_name,predator_taxon_suborder_name,predator_taxon_superfamily_name,predator_taxon_family_name,predator_taxon_subfamily_name,predator_taxon_supertribe_name,predator_taxon_tribe_name,predator_taxon_subtribe_name,predator_taxon_genus_name,predator_taxon_genushybrid_name,predator_taxon_species_name,predator_taxon_hybrid_name,predator_taxon_subspecies_name,predator_taxon_variety_name,predator_taxon_form_name,predator_description,predator_agreements,prey_id,prey_scientific_name,prey_common_name,prey_iconic_taxon_name,prey_taxon_species_name,prey_taxon_kingdom_name,prey_taxon_phylum_name,prey_taxon_subphylum_name,prey_taxon_superclass_name,prey_taxon_class_name,prey_taxon_subclass_name,prey_taxon_superorder_name,prey_taxon_order_name,prey_taxon_suborder_name,prey_taxon_superfamily_name,prey_taxon_family_name,prey_taxon_subfamily_name,prey_taxon_supertribe_name,prey_taxon_tribe_name,prey_taxon_subtribe_name,prey_taxon_genus_name,prey_taxon_genushybrid_name,prey_taxon_species_name,prey_taxon_hybrid_name,prey_taxon_subspecies_name,prey_taxon_variety_name,prey_taxon_form_name,prey_description,prey_agreements
1989-06-16,Harare,http://www.inaturalist.org/observations/1059442,https://inaturalist-open-data.s3.amazonaws.com/photos/1328444/medium.jpg,,762.0,,-15.8445734376,29.1981681156,,Hurungwe,Mashonaland West,Zimbabwe,,False,1059454.0,,Southern Lion,Mammalia,Panthera leo,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Pantherinae,,,,Panthera,,Panthera leo,,Panthera leo melanochaita,,,,5.0,1059442.0,Syncerus caffer caffer,Cape Buffalo,Mammalia,Syncerus caffer,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Bovinae,,Bovini,,Syncerus,,Syncerus caffer,,Syncerus caffer caffer,,,,2.0
1989-06-16,Harare,http://www.inaturalist.org/observations/1059454,https://inaturalist-open-data.s3.amazonaws.com/photos/1328462/medium.jpg,,,,-15.9224659673,29.1488457964,,Hurungwe,Mashonaland West,Zimbabwe,,False,1059454.0,Panthera leo melanochaita,Southern Lion,Mammalia,Panthera leo,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Carnivora,,,Felidae,Pantherinae,,,,Panthera,,Panthera leo,,Panthera leo melanochaita,,,,5.0,1059442.0,Syncerus caffer caffer,Cape Buffalo,Mammalia,Syncerus caffer,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Bovinae,,Bovini,,Syncerus,,Syncerus caffer,,Syncerus caffer caffer,,,,2.0
1989-02-02,Harare,http://www.inaturalist.org/observations/1068273,https://inaturalist-open-data.s3.amazonaws.com/photos/1339178/medium.jpg,,12674.0,"Narok, KE",-1.559196329,34.9379081719,,Narok old,Rift Valley,Kenya,,False,1068273.0,Gyps rueppelli,Rüppell's Griffon,Aves,Gyps rueppelli,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Aegypiinae,,,,Gyps,,Gyps rueppelli,,,,,,1.0,66419503.0,Syncerus caffer caffer,Cape Buffalo,Mammalia,Syncerus caffer,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Bovinae,,Bovini,,Syncerus,,Syncerus caffer,,Syncerus caffer caffer,,,,3.0
1989-02-02,Harare,http://www.inaturalist.org/observations/1068300,https://inaturalist-open-data.s3.amazonaws.com/photos/1339207/medium.jpg,,,"Narok, KE",-1.5230151151,34.8013802916,,Narok old,Rift Valley,Kenya,,False,1068300.0,Gyps africanus,White-backed Vulture,Aves,Gyps africanus,Animalia,Chordata,Vertebrata,,Aves,,,Accipitriformes,,,Accipitridae,Aegypiinae,,,,Gyps,,Gyps africanus,,,,,,2.0,66419503.0,Syncerus caffer caffer,Cape Buffalo,Mammalia,Syncerus caffer,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Bovinae,,Bovini,,Syncerus,,Syncerus caffer,,Syncerus caffer caffer,,,,3.0
2015-05-25,Harare,http://www.inaturalist.org/observations/1541560,https://inaturalist-open-data.s3.amazonaws.com/photos/1909590/medium.jpg,,5.0,"Harare, Zimbabwe",-17.811673,31.081223,,Harare,Harare,Zimbabwe,,False,1541560.0,Crinifer concolor,Grey Go-away-bird,Aves,Crinifer concolor,Animalia,Chordata,Vertebrata,,Aves,,,Musophagiformes,,,Musophagidae,Criniferinae,,,,Crinifer,,Crinifer concolor,,,,,,2.0,66413452.0,Cascabela thevetia,Be-still tree,Plantae,Cascabela thevetia,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Gentianales,,,Apocynaceae,Rauvolfioideae,,,,Cascabela,,Cascabela thevetia,,,,,,2.0
2006-07-01,Eastern Time (US & Canada),http://www.inaturalist.org/observations/1766953,https://static.inaturalist.org/photos/22224/medium.JPG,,6.0,"Tristan da Cunha, Tristan da Cunha, SH",-40.349455,-9.880436,,Tristan da Cunha,Tristan da Cunha,Saint Helena,"No, none of these",False,10686.0,,House Mouse,Mammalia,Mus musculus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Euarchontoglires,Rodentia,Myomorpha,Muroidea,Muridae,Murinae,,Murini,,Mus,,Mus musculus,,,,,House mice on Gough Island have learnt to eat seabirds. Even Albatrosses are now threatened with extinction from mouse predation!,7.0,1766953.0,Pachyptila vittata,Broad-billed Prion,Aves,Pachyptila vittata,Animalia,Chordata,Vertebrata,,Aves,,,Procellariiformes,,,Procellariidae,,,,,Pachyptila,,Pachyptila vittata,,,,,,3.0
2015-11-25,Harare,http://www.inaturalist.org/observations/2425593,https://inaturalist-open-data.s3.amazonaws.com/photos/2700535/medium.jpg,,,"Harare, Zimbabwe",-17.81164,31.080963,,Harare,Harare,Zimbabwe,,False,2425593.0,Lamprotornis chalybaeus,Greater Blue-eared Starling,Aves,Lamprotornis chalybaeus,Animalia,Chordata,Vertebrata,,Aves,,,Passeriformes,,,Sturnidae,,,,,Lamprotornis,,Lamprotornis chalybaeus,,,,,,1.0,2425738.0,Drosera madagascariensis,Madagascar Sundew,Plantae,Drosera madagascariensis,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Caryophyllales,,,Droseraceae,,,,,Drosera,,Drosera madagascariensis,,,,,,2.0
2015-09-08,Harare,http://www.inaturalist.org/observations/2468967,https://inaturalist-open-data.s3.amazonaws.com/photos/2762850/medium.jpg,,,"Harare, Zimbabwe",-17.81164,31.080963,,Harare,Harare,Zimbabwe,,False,2468967.0,Ceratosolen capensis,,Insecta,Ceratosolen capensis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hymenoptera,Apocrita,Chalcidoidea,Agaonidae,Kradibiinae,,,,Ceratosolen,,Ceratosolen capensis,,,,,,2.0,28545358.0,Ficus sur,Cape Fig,Plantae,Ficus sur,Plantae,Tracheophyta,Angiospermae,,Magnoliopsida,,,Rosales,,,Moraceae,,,Ficeae,,Ficus,,Ficus sur,,,,,,1.0
2006-07-04,UTC,http://www.inaturalist.org/observations/2656722,https://static.inaturalist.org/photos/2985825/medium.jpg,,1129.0,"River Thames, Hampton Court, Middlesex, England",51.400941,-0.338602,Greater London,Richmond upon Thames,England,United Kingdom,,False,2656722.0,Phalacrocorax carbo,Great Cormorant,Aves,Phalacrocorax carbo,Animalia,Chordata,Vertebrata,,Aves,,,Suliformes,,,Phalacrocoracidae,,,,,Phalacrocorax,,Phalacrocorax carbo,,,,,,2.0,2656724.0,Anguilla anguilla,European Eel,Actinopterygii,Anguilla anguilla,Animalia,Chordata,Vertebrata,,Actinopterygii,,Elopomorpha,Anguilliformes,Anguilloidei,,Anguillidae,,,,,Anguilla,,Anguilla anguilla,,,,,,3.0
2006-07-04,UTC,http://www.inaturalist.org/observations/2656724,https://static.inaturalist.org/photos/2985833/medium.jpg,,671.0,"England, GB",51.4372259629,-0.2842231425,Greater London,Richmond upon Thames,England,United Kingdom,,False,2656722.0,,Great Cormorant,Aves,Phalacrocorax carbo,Animalia,Chordata,Vertebrata,,Aves,,,Suliformes,,,Phalacrocoracidae,,,,,Phalacrocorax,,Phalacrocorax carbo,,,,,,2.0,2656724.0,Anguilla anguilla,European Eel,Actinopterygii,Anguilla anguilla,Animalia,Chordata,Vertebrata,,Actinopterygii,,Elopomorpha,Anguilliformes,Anguilloidei,,Anguillidae,,,,,Anguilla,,Anguilla anguilla,,,,,,3.0
