observed_on,time_zone,url,image_url,sound_url,positional_accuracy,place_guess,latitude,longitude,place_town_name,place_county_name,place_state_name,place_country_name,special_type_of_feeding,captive_cultivated,predator_id,predator_scientific_name,predator_common_name,predator_iconic_taxon_name,predator_taxon_species_name,predator_taxon_kingdom_name,predator_taxon_phylum_name,predator_taxon_subphylum_name,predator_taxon_superclass_name,predator_taxon_class_name,predator_taxon_subclass_name,predator_taxon_superorder_name,predator_taxon_order_name,predator_taxon_suborder_name,predator_taxon_superfamily_name,predator_taxon_family_name,predator_taxon_subfamily_name,predator_taxon_supertribe_name,predator_taxon_tribe_name,predator_taxon_subtribe_name,predator_taxon_genus_name,predator_taxon_genushybrid_name,predator_taxon_species_name,predator_taxon_hybrid_name,predator_taxon_subspecies_name,predator_taxon_variety_name,predator_taxon_form_name,predator_description,predator_agreements,prey_id,prey_scientific_name,prey_common_name,prey_iconic_taxon_name,prey_taxon_species_name,prey_taxon_kingdom_name,prey_taxon_phylum_name,prey_taxon_subphylum_name,prey_taxon_superclass_name,prey_taxon_class_name,prey_taxon_subclass_name,prey_taxon_superorder_name,prey_taxon_order_name,prey_taxon_suborder_name,prey_taxon_superfamily_name,prey_taxon_family_name,prey_taxon_subfamily_name,prey_taxon_supertribe_name,prey_taxon_tribe_name,prey_taxon_subtribe_name,prey_taxon_genus_name,prey_taxon_genushybrid_name,prey_taxon_species_name,prey_taxon_hybrid_name,prey_taxon_subspecies_name,prey_taxon_variety_name,prey_taxon_form_name,prey_description,prey_agreements
2014-07-05,Central Time (US & Canada),http://www.inaturalist.org/observations/770998,https://static.inaturalist.org/photos/968318/medium.jpg,,3.0,"Wildcat Bluff, Johnson county, Illinois, U.S.A.",37.376119,-88.930038,,Johnson,Illinois,United States,"No, none of these",False,770998.0,Pantherophis spiloides,Gray Ratsnake,Reptilia,Pantherophis spiloides,Animalia,Chordata,Vertebrata,,Reptilia,,,Squamata,Serpentes,,Colubridae,Colubrinae,,,,Pantherophis,,Pantherophis spiloides,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-08,Nairobi,http://www.inaturalist.org/observations/843690,https://inaturalist-open-data.s3.amazonaws.com/photos/1068150/medium.JPG,,40.0,"Narok, KE",-1.3560948971,34.8665003718,,Narok old,Rift Valley,Kenya,Scavenging,False,843690.0,Hippopotamus amphibius,Common Hippopotamus,Mammalia,Hippopotamus amphibius,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Whippomorpha,,Hippopotamidae,,,,,Hippopotamus,,Hippopotamus amphibius,,,,,"This hippo was curiously determined to investigate this zebra carcass that crocodiles were consuming. At times, it seemed content to ""nose"" the carcass, at other points, the hippo would attack the crocodiles. Exciting.

See paired observation of the crocodiles for photos of crocs eating zebra: http://www.inaturalist.org/observations/843687",9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-28,Harare,http://www.inaturalist.org/observations/855273,https://inaturalist-open-data.s3.amazonaws.com/photos/1084105/medium.jpg,,,"Harare, Zimbabwe",-17.81164,31.080963,,Harare,Harare,Zimbabwe,,False,855273.0,Zizeeria knysna,African Grass Blue,Insecta,Zizeeria knysna,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Lycaenidae,Polyommatinae,,Polyommatini,Zizeeriina,Zizeeria,,Zizeeria knysna,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-08-28,Harare,http://www.inaturalist.org/observations/855282,https://inaturalist-open-data.s3.amazonaws.com/photos/1084115/medium.jpg,,,"Harare, Zimbabwe",-17.81164,31.080963,,Harare,Harare,Zimbabwe,,False,855282.0,Stenodacma wahlbergi,,Insecta,Stenodacma wahlbergi,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Pterophoroidea,Pterophoridae,Pterophorinae,,Oxyptilini,,Stenodacma,,Stenodacma wahlbergi,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-01,Harare,http://www.inaturalist.org/observations/859795,https://inaturalist-open-data.s3.amazonaws.com/photos/1090771/medium.jpg,,,"Harare, Zimbabwe",-17.81164,31.080963,,Harare,Harare,Zimbabwe,,False,859795.0,Acada biseriata,Axehead Skipper,Insecta,Acada biseriata,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Papilionoidea,Hesperiidae,Hesperiinae,,Ceratrichiini,,Acada,,Acada biseriata,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-09-21,Harare,http://www.inaturalist.org/observations/890705,https://inaturalist-open-data.s3.amazonaws.com/photos/1131787/medium.jpg,,20.0,"Tsindi Ruins, Marondera",-18.096296,31.705792,,Marondera,Mashonaland East,Zimbabwe,,False,890705.0,Philoliche rubramarginata,Redflank Needlenose Fly,Insecta,Philoliche rubramarginata,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Diptera,Brachycera,,Tabanidae,Pangoniinae,,Philolichini,,Philoliche,,Philoliche rubramarginata,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984-10-24,Harare,http://www.inaturalist.org/observations/1031728,https://inaturalist-open-data.s3.amazonaws.com/photos/447010704/medium.jpg,,47.0,Sengwa Wildlife Research Area,-18.161914,28.212242,,Gokwe South,Midlands,Zimbabwe,,False,1031728.0,Kobus ellipsiprymnus,Waterbuck,Mammalia,Kobus ellipsiprymnus,Animalia,Chordata,Vertebrata,,Mammalia,Theria,Laurasiatheria,Artiodactyla,Ruminantia,,Bovidae,Antilopinae,,Reduncini,,Kobus,,Kobus ellipsiprymnus,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-10,Harare,http://www.inaturalist.org/observations/1068463,https://inaturalist-open-data.s3.amazonaws.com/photos/1339369/medium.jpg,,,"Harare, Zimbabwe",-17.81164,31.080963,,Harare,Harare,Zimbabwe,,False,1068463.0,Insignorthezia insignis,Greenhouse Orthezia,Insecta,Insignorthezia insignis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Hemiptera,Sternorrhyncha,Coccoidea,Ortheziidae,,,,,Insignorthezia,,Insignorthezia insignis,,,,,may be Ortheziidae,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-23,Harare,http://www.inaturalist.org/observations/1120591,https://inaturalist-open-data.s3.amazonaws.com/photos/1407773/medium.jpg,,,"TCT Dalmann Catapu, Mozambique",-18.174029,35.150826,,Cheringoma,Sofala,Mozambique,,False,1120591.0,Mausoleopsis amabilis interrupta,Savanna White-spotted Fruit Chafer,Insecta,Mausoleopsis amabilis,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Coleoptera,Polyphaga,Scarabaeoidea,Scarabaeidae,Cetoniinae,,Cetoniini,Leucocelina,Mausoleopsis,,Mausoleopsis amabilis,,Mausoleopsis amabilis interrupta,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-23,Harare,http://www.inaturalist.org/observations/1133892,https://inaturalist-open-data.s3.amazonaws.com/photos/1425797/medium.jpg,,,"TCT Dalmann Catapu, Mozambique",-18.172187,35.152833,,Cheringoma,Sofala,Mozambique,,False,1133892.0,Arniocera erythropyga,Fire Grid Burnet,Insecta,Arniocera erythropyga,Animalia,Arthropoda,Hexapoda,,Insecta,Pterygota,,Lepidoptera,,Thyridoidea,Thyrididae,Charideinae,,,,Arniocera,,Arniocera erythropyga,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
