predator_scientific_name,prey_scientific_name,observed_on,time_zone,image_url,sound_url,positional_accuracy,place,place_town,place_county,place_state,place_country,latitude,longitude,type_of_feeding,url,captive_cultivated,description,prey_agreements,predator_agreements
Danaus plexippus,Asclepias syriaca,2015-09-03,Eastern Time (US & Canada),https://static.inaturalist.org/photos/2991839/medium.jpg,,39.0,"Floyd, VA, US",,Floyd,Virginia,United States,36.9713640662,-80.3283629953,"No, none of these",http://www.inaturalist.org/observations/2660716,False,,1.0,2.0
Telchinia burni,Obetia tenax,2016-04-22,Harare,https://inaturalist-open-data.s3.amazonaws.com/photos/3467087/medium.jpg,,,Christon Bank,,Mazowe,Mashonaland Central,Zimbabwe,-17.614,31.019,,http://www.inaturalist.org/observations/3013721,False,,1.0,1.0
Misumenoides formosipes,Apis mellifera,2016-09-01,Eastern Time (US & Canada),https://static.inaturalist.org/photos/4739965/medium.jpg,,91.0,"100–290 Grandmas Pl NE, Floyd, VA, US",,Floyd,Virginia,United States,36.9695548627,-80.3287713629,"No, none of these",http://www.inaturalist.org/observations/4013888,False,,1.0,4.0
Treron calvus,Ficus bussei,2016-09-17,West Central Africa,https://inaturalist-open-data.s3.amazonaws.com/photos/5003405/medium.jpg,,23.0,Mana Pools National Park,,Hurungwe,Mashonaland West,Zimbabwe,-16.106839,29.495239,,http://www.inaturalist.org/observations/4198630,False,,2.0,5.0
Poicephalus meyeri,Ficus bussei,2016-09-17,West Central Africa,https://inaturalist-open-data.s3.amazonaws.com/photos/5003439/medium.jpg,,23.0,Mana Pools National Park,,Hurungwe,Mashonaland West,Zimbabwe,-16.106855,29.495276,,http://www.inaturalist.org/observations/4198647,False,,2.0,5.0
Trachyphonus vaillantii,Phymateus viridipes,2016-10-10,West Central Africa,https://inaturalist-open-data.s3.amazonaws.com/photos/5180292/medium.jpg,,,"Harare, Zimbabwe",,Harare,Harare,Zimbabwe,-17.81164,31.080963,,http://www.inaturalist.org/observations/4311650,False,,1.0,4.0
Larus glaucescens,Oncorhynchus,2016-11-10,Pacific Time (US & Canada),https://inaturalist-open-data.s3.amazonaws.com/photos/5486143/medium.jpeg,,31.0,"Northwest Seattle, Seattle, WA, USA",,King,Washington,United States,47.711652962,-122.3753142357,Scavenging,http://www.inaturalist.org/observations/4529334,False,,2.0,1.0
Octopus tetricus,Monacanthus chinensis,2012-11-18,Sydney,https://inaturalist-open-data.s3.amazonaws.com/photos/6076028/medium.jpg,,100.0,"Clifton Gardens, Mosman, NSW",,Mosman,New South Wales,Australia,-33.839763,151.25323,"No, none of these",https://www.inaturalist.org/observations/4977020,False,,2.0,1.0
Octopus tetricus,Monacanthus chinensis,2012-11-18,Sydney,https://inaturalist-open-data.s3.amazonaws.com/photos/6076028/medium.jpg,,100.0,"Clifton Gardens, Mosman, NSW",,Mosman,New South Wales,Australia,-33.839763,151.25323,"No, none of these",https://www.inaturalist.org/observations/4977021,False,,2.0,1.0
Ardea cinerea,Anguilla anguilla,2017-02-05,Paris,https://inaturalist-open-data.s3.amazonaws.com/photos/6212677/medium.jpeg,,61.0,"Provincia di Latina, Italia",,Latina,Lazio,Italy,41.4105161157,12.8994727135,,https://www.inaturalist.org/observations/5064766,False,,3.0,4.0
Ardea cinerea,Anguilla anguilla,2017-02-05,Paris,https://inaturalist-open-data.s3.amazonaws.com/photos/6218013/medium.jpeg,,61.0,"Latina, Lazio, IT",,Latina,Lazio,Italy,41.4906583904,12.9859026904,,https://www.inaturalist.org/observations/5064767,False,,3.0,4.0
Phalacrocorax carbo,Silurus glanis,2017-04-16,Paris,https://inaturalist-open-data.s3.amazonaws.com/photos/8300756/medium.jpg,,619.0,"Provincia di Mantova, Italia",,Mantua,Lombardia,Italy,45.1189914214,10.5439336576,,https://www.inaturalist.org/observations/6547777,False,,10.0,3.0
Phalacrocorax carbo,Silurus glanis,2017-04-16,Paris,https://inaturalist-open-data.s3.amazonaws.com/photos/8301050/medium.jpg,,599.0,"46010 Marcaria MN, Italia",,Mantua,Lombardia,Italy,45.1182040904,10.543246945,,https://www.inaturalist.org/observations/6547967,False,,10.0,3.0
Gegenes letterstedti,Stachytarpheta jamaicensis,2017-06-14,West Central Africa,https://inaturalist-open-data.s3.amazonaws.com/photos/8434158/medium.jpg,,,"Harare, Zimbabwe",,Harare,Harare,Zimbabwe,-17.81164,31.080963,,https://www.inaturalist.org/observations/6653565,False,,1.0,1.0
Crocodylus acutus,Pterois volitans,2012-10-17,Central Time (US & Canada),https://inaturalist-open-data.s3.amazonaws.com/photos/9155899/medium.jpeg,,244.0,"Othón P. Blanco, Q.R., México",,Othón P. Blanco,Quintana Roo,Mexico,18.595490458,-87.3129844666,"No, none of these",http://conabio.inaturalist.org/observations/7118034,False,,2.0,11.0
Mantis religiosa,Sympetrum fonscolombii,2015-08-22,Amsterdam,https://inaturalist-open-data.s3.amazonaws.com/photos/9404093/medium.jpg,,1282.0,Jimena de la Frontera,,Cádiz,Andalucía,Spain,36.431902,-5.450917,"No, none of these",https://www.inaturalist.org/observations/7273981,False,,1.0,3.0
Vespula flavopilosa,Baeolophus bicolor,2017-09-09,Eastern Time (US & Canada),https://static.inaturalist.org/photos/10373031/medium.jpg,,34.0,"Giles County, VA, USA",,Giles,Virginia,United States,37.3756255505,-80.5232512951,Scavenging,https://www.inaturalist.org/observations/7871131,False,,2.0,1.0
Vespula flavopilosa,Baeolophus bicolor,2017-09-09,Eastern Time (US & Canada),https://static.inaturalist.org/photos/10373201/medium.jpg,,40.0,"Giles County, VA, USA",,Giles,Virginia,United States,37.3756212875,-80.5231279135,Scavenging,https://www.inaturalist.org/observations/7871201,False,,2.0,1.0
Pitangus sulphuratus,Hemidactylus frenatus,2017-09-12,Pacific Time (US & Canada),https://inaturalist-open-data.s3.amazonaws.com/photos/10777090/medium.jpg,,468.0,"Alajuela Province, La Fortuna, Costa Rica, Costa Rica",,San Carlos,Alajuela,Costa Rica,10.4701123534,-84.643109764,"No, none of these",https://www.inaturalist.org/observations/8141947,False,,6.0,4.0
Falco peregrinus anatum,Colaptes auratus,2017-10-14,Pacific Time (US & Canada),https://static.inaturalist.org/photos/11180310/medium.jpg,,617.0,"Los Angeles County, US-CA, US",,Los Angeles,California,United States,33.0143969177,-118.6034278841,"No, none of these",https://www.inaturalist.org/observations/8402905,False,,26.0,2.0
Falco peregrinus,Colaptes auratus,2017-10-14,Hawaii,https://static.inaturalist.org/photos/11270359/medium.jpg,,244.0,"Los Angeles County, CA, USA",,Los Angeles,California,United States,33.0161487436,-118.5984420776,"No, none of these",https://www.inaturalist.org/observations/8456770,False,,26.0,2.0
Gyps africanus,Crocuta crocuta,1988-06-20,West Central Africa,https://inaturalist-open-data.s3.amazonaws.com/photos/11871524/medium.jpg,,50.0,Mana Pools National Park,,Hurungwe,Mashonaland West,Zimbabwe,-15.795815,29.205405,,https://www.inaturalist.org/observations/8836272,False,,6.0,1.0
Leptoptilos crumenifer,Crocuta crocuta,1988-06-20,West Central Africa,https://inaturalist-open-data.s3.amazonaws.com/photos/11871524/medium.jpg,,50.0,Mana Pools National Park,,Hurungwe,Mashonaland West,Zimbabwe,-15.795815,29.205405,,https://www.inaturalist.org/observations/8836272,False,,6.0,3.0
Leptoptilos crumenifer,Crocuta crocuta,1988-06-20,West Central Africa,https://inaturalist-open-data.s3.amazonaws.com/photos/11871546/medium.jpg,,50.0,Mana Pools National Park,,Hurungwe,Mashonaland West,Zimbabwe,-15.795815,29.205405,,https://www.inaturalist.org/observations/8836285,False,,6.0,3.0
Gyps africanus,Crocuta crocuta,1988-06-20,West Central Africa,https://inaturalist-open-data.s3.amazonaws.com/photos/11871580/medium.jpg,,50.0,,,Hurungwe,Mashonaland West,Zimbabwe,-15.6438755687,29.2550830007,,https://www.inaturalist.org/observations/8836294,False,,6.0,1.0
Hemidactylus bowringii,Papilio paris,2017-11-19,Hong Kong,https://inaturalist-open-data.s3.amazonaws.com/photos/11931980/medium.jpeg,,100.0,"Kwun Tong, Hong Kong",,,Kwun Tong,Hong Kong,22.3071416667,114.2300722222,"No, none of these",https://www.inaturalist.org/observations/8873609,False,,2.0,2.0
Hemidactylus bowringii,Papilio paris,2017-11-19,Hong Kong,https://inaturalist-open-data.s3.amazonaws.com/photos/11931980/medium.jpeg,,100.0,"Kwun Tong, Hong Kong",,,Kwun Tong,Hong Kong,22.3071416667,114.2300722222,"No, none of these",https://www.inaturalist.org/observations/8873618,False,,2.0,2.0
Ardea herodias,Megascapheus bottae,2014-07-28,Pacific Time (US & Canada),https://inaturalist-open-data.s3.amazonaws.com/photos/12325978/medium.jpeg,,409.0,ten mile beach,,Mendocino,California,United States,39.501973,-123.7288,"No, none of these",https://www.inaturalist.org/observations/9122049,False,,3.0,1.0
Stegodyphus dumicola,Meranoplus inermis,2017-12-31,Pretoria,https://inaturalist-open-data.s3.amazonaws.com/photos/12637215/medium.jpg,,61.0,Blyde River near Hoedspruit,,Phalaborwa,Limpopo,South Africa,-24.4057032791,30.8132600784,"No, none of these",https://www.inaturalist.org/observations/9319352,False,,4.0,12.0
Stegodyphus dumicola,Meranoplus inermis,2017-12-31,Pretoria,https://inaturalist-open-data.s3.amazonaws.com/photos/12637310/medium.jpg,,31.0,"Mopani, South Africa",,Phalaborwa,Limpopo,South Africa,-24.4059516358,30.8132815361,"No, none of these",https://www.inaturalist.org/observations/9319390,False,,4.0,12.0
Ardea cinerea,Anguilla anguilla,2018-01-02,London,https://inaturalist-open-data.s3.amazonaws.com/photos/12686379/medium.jpeg,,,"2510 Óbidos, Portugal",,Óbidos,Leiria,Portugal,39.39799,-9.200155,,https://www.inaturalist.org/observations/9348478,False,,6.0,5.0
Ardea cinerea,Anguilla anguilla,2018-01-02,London,https://inaturalist-open-data.s3.amazonaws.com/photos/12686393/medium.jpeg,,,Portugal,,Óbidos,Leiria,Portugal,39.3528832068,-9.2273364644,,https://www.inaturalist.org/observations/9348479,False,,6.0,5.0
Necrosyrtes monachus,Aepyceros melampus melampus,2018-01-13,West Central Africa,https://inaturalist-open-data.s3.amazonaws.com/photos/12867777/medium.jpg,,,"Sango, Save Valley Conservancy",,Bikita,Masvingo,Zimbabwe,-20.178955,32.1500933333,,https://www.inaturalist.org/observations/9459167,False,,1.0,6.0
Gyps africanus,Aepyceros melampus melampus,2018-01-13,West Central Africa,https://inaturalist-open-data.s3.amazonaws.com/photos/12867777/medium.jpg,,,"Sango, Save Valley Conservancy",,Bikita,Masvingo,Zimbabwe,-20.178955,32.1500933333,,https://www.inaturalist.org/observations/9459167,False,,1.0,2.0
Gyps africanus,Aepyceros melampus melampus,2018-01-13,West Central Africa,https://inaturalist-open-data.s3.amazonaws.com/photos/12868166/medium.jpg,,,Zimbabwe,,Bikita,Masvingo,Zimbabwe,-20.0222719823,32.0716955523,,https://www.inaturalist.org/observations/9459405,False,,1.0,2.0
Necrosyrtes monachus,Aepyceros melampus melampus,2018-01-13,West Central Africa,https://inaturalist-open-data.s3.amazonaws.com/photos/12868366/medium.jpg,,,Zimbabwe,,Bikita,Masvingo,Zimbabwe,-20.0003234223,32.0433556174,,https://www.inaturalist.org/observations/9459512,False,,1.0,6.0
Lanius ludovicianus,Anolis sagrei,2018-01-18,Central Time (US & Canada),https://static.inaturalist.org/photos/12983778/medium.jpg,,500.0,"8501 Spencer Hwy, Deer Park, TX, US",,Harris,Texas,United States,29.669595,-95.1063111667,"No, none of these",https://www.inaturalist.org/observations/9522897,False,,24.0,17.0
Lanius ludovicianus,Anolis sagrei,2018-01-18,Central Time (US & Canada),https://static.inaturalist.org/photos/12983784/medium.jpg,,,"8501 Spencer Hwy, Deer Park, TX, US",,Harris,Texas,United States,29.669595,-95.1063111667,,https://www.inaturalist.org/observations/9522909,False,,24.0,17.0
Aquarius remigis,Vespula pensylvanica,2014-11-11,Pacific Time (US & Canada),https://inaturalist-open-data.s3.amazonaws.com/photos/13513903/medium.jpg,,189.0,"Ukiah, CA 95482, USA",,Mendocino,California,United States,39.1619513,-123.2252163,"No, none of these",https://www.inaturalist.org/observations/9863697,False,,1.0,2.0
Aquarius remigis,Vespula pensylvanica,2014-11-11,Pacific Time (US & Canada),https://inaturalist-open-data.s3.amazonaws.com/photos/13513903/medium.jpg,,189.0,"Ukiah, CA 95482, USA",,Mendocino,California,United States,39.1619513,-123.2252163,"No, none of these",https://www.inaturalist.org/observations/9863711,False,,1.0,2.0
Scopus umbretta umbretta,Chiromantis xerampelina,2018-01-11,West Central Africa,https://inaturalist-open-data.s3.amazonaws.com/photos/13538317/medium.jpg,,80.0,"Sango, Save Valley Conservancy",,Bikita,Masvingo,Zimbabwe,-20.209212,32.209437,,https://www.inaturalist.org/observations/9878001,False,,2.0,2.0
Icthyophaga vocifer,Hydrocynus vittatus,1988-04-25,West Central Africa,https://inaturalist-open-data.s3.amazonaws.com/photos/13709053/medium.jpg,,5000.0,Hurungwe Safari Area,,Siavonga,Southern,Zambia,-16.283876,28.834829,,https://www.inaturalist.org/observations/9976884,False,,2.0,6.0
Larus glaucescens,Dermasterias imbricata,2018-03-19,Pacific Time (US & Canada),https://inaturalist-open-data.s3.amazonaws.com/photos/14298032/medium.jpg,,,"King, Washington, United States",,King,Washington,United States,47.6107749722,-122.3426208333,"No, none of these",https://www.inaturalist.org/observations/10317797,False,,1.0,2.0
Larus glaucescens,Dermasterias imbricata,2018-03-19,Pacific Time (US & Canada),https://inaturalist-open-data.s3.amazonaws.com/photos/14298104/medium.jpg,,,"Downtown, Seattle, WA, USA",,King,Washington,United States,47.6095580833,-122.3405837778,"No, none of these",https://www.inaturalist.org/observations/10317798,False,,1.0,2.0
Telchinia burni,Obetia tenax,2018-04-15,West Central Africa,https://inaturalist-open-data.s3.amazonaws.com/photos/15423069/medium.jpg,,5.0,Christon Bank,,Mazowe,Mashonaland Central,Zimbabwe,-17.614274,31.019054,,https://www.inaturalist.org/observations/10960412,False,,1.0,1.0
Dejeania bombylans,Gymnosporia senegalensis,2015-06-28,Africa/Johannesburg,https://inaturalist-open-data.s3.amazonaws.com/photos/15535866/medium.jpg,,1100.0,Victoria Falls,,Livingstone,Southern,Zambia,-17.92,25.86,,https://www.inaturalist.org/observations/11018377,False,,2.0,1.0
Dejeania bombylans,Gymnosporia senegalensis,2015-06-28,Pretoria,https://inaturalist-open-data.s3.amazonaws.com/photos/15535878/medium.jpg,,1100.0,Victoria Falls,,Livingstone,Southern,Zambia,-17.92,25.86,,https://www.inaturalist.org/observations/11018383,False,,2.0,1.0
Brachycerus labrusca,Zephyranthes robusta,2016-11-28,Pretoria,https://inaturalist-open-data.s3.amazonaws.com/photos/15983188/medium.jpg,,1.0,St Lucia 1,,Hlabisa,KwaZulu-Natal,South Africa,-28.3762,32.4181,,https://www.inaturalist.org/observations/11252870,False,,2.0,2.0
Brachycerus labrusca,Zephyranthes robusta,2016-11-28,Pretoria,https://inaturalist-open-data.s3.amazonaws.com/photos/15983245/medium.jpg,,1.0,St Lucia 1,,Hlabisa,KwaZulu-Natal,South Africa,-28.3762,32.4181,,https://www.inaturalist.org/observations/11252885,False,,2.0,2.0
Ninox novaeseelandiae novaeseelandiae,Todiramphus sanctus vagans,2018-05-04,Wellington,https://inaturalist-open-data.s3.amazonaws.com/photos/17442735/medium.jpeg,,1032.0,"Waimahanga Track, Onerahi, Whangarei 0110, New Zealand",,Whangarei,Northland,New Zealand,-35.7587746455,174.3590562791,"No, none of these",https://www.inaturalist.org/observations/12152382,False,,7.0,9.0
Ninox novaeseelandiae,Todiramphus sanctus vagans,2018-05-04,Wellington,https://inaturalist-open-data.s3.amazonaws.com/photos/17490444/medium.jpeg,,516.0,"Waimahanga Track, Onerahi, Whangarei 0110, New Zealand",,Whangarei,Northland,New Zealand,-35.7585167214,174.3588433787,"No, none of these",https://www.inaturalist.org/observations/12180961,False,,7.0,9.0
